Training Loss	Validation Loss	Test Loss	
 5.7342e+00	 5.3132e+00	 5.2482e+00	
 5.1891e+00	 5.0814e+00	 5.0167e+00	
 4.9965e+00	 4.9831e+00	 4.9179e+00	
 4.8798e+00	 4.9249e+00	 4.8571e+00	
 4.7993e+00	 4.8885e+00	 4.8209e+00	
 4.6788e+00	 4.8314e+00	 4.7576e+00	
 4.6017e+00	 4.8013e+00	 4.7286e+00	
 4.5615e+00	 4.7862e+00	 4.7155e+00	
 4.5428e+00	 4.7767e+00	 4.7072e+00	
 4.5350e+00	 4.7691e+00	 4.7008e+00	
 4.5310e+00	 4.7663e+00	 4.6981e+00	
 4.5310e+00	 4.7650e+00	 4.6969e+00	
 4.5294e+00	 4.7644e+00	 4.6963e+00	
 4.5312e+00	 4.7640e+00	 4.6960e+00	
 4.5311e+00	 4.7638e+00	 4.6959e+00	
 4.5304e+00	 4.7637e+00	 4.6958e+00	
 4.5306e+00	 4.7636e+00	 4.6957e+00	
 4.5290e+00	 4.7635e+00	 4.6957e+00	
 4.5293e+00	 4.7635e+00	 4.6957e+00	
 4.5293e+00	 4.7635e+00	 4.6957e+00	
 4.5297e+00	 4.7635e+00	 4.6957e+00	
 4.5283e+00	 4.7635e+00	 4.6956e+00	
 4.5290e+00	 4.7635e+00	 4.6956e+00	
 4.5294e+00	 4.7635e+00	 4.6956e+00	
 4.5296e+00	 4.7635e+00	 4.6956e+00	
 4.5299e+00	 4.7635e+00	 4.6956e+00	
 4.5300e+00	 4.7635e+00	 4.6956e+00	
 4.5308e+00	 4.7635e+00	 4.6956e+00	
 4.5306e+00	 4.7635e+00	 4.6956e+00	
 4.5296e+00	 4.7635e+00	 4.6956e+00	
