Training Loss	Validation Loss	Test Loss	
 5.7921e+00	 5.4241e+00	 5.3505e+00	
 5.3914e+00	 5.2795e+00	 5.2044e+00	
 5.2765e+00	 5.2188e+00	 5.1335e+00	
 5.2083e+00	 5.1819e+00	 5.0905e+00	
 5.1604e+00	 5.1600e+00	 5.0650e+00	
 5.0632e+00	 5.0988e+00	 5.0029e+00	
 4.9955e+00	 5.0658e+00	 4.9768e+00	
 4.9596e+00	 5.0479e+00	 4.9595e+00	
 4.9433e+00	 5.0386e+00	 4.9514e+00	
 4.9344e+00	 5.0332e+00	 4.9472e+00	
 4.9298e+00	 5.0311e+00	 4.9459e+00	
 4.9277e+00	 5.0305e+00	 4.9454e+00	
 4.9250e+00	 5.0304e+00	 4.9452e+00	
 4.9255e+00	 5.0302e+00	 4.9451e+00	
 4.9256e+00	 5.0302e+00	 4.9451e+00	
 4.9251e+00	 5.0302e+00	 4.9451e+00	
 4.9228e+00	 5.0302e+00	 4.9451e+00	
 4.9238e+00	 5.0302e+00	 4.9451e+00	
 4.9226e+00	 5.0302e+00	 4.9451e+00	
 4.9238e+00	 5.0302e+00	 4.9451e+00	
 4.9241e+00	 5.0302e+00	 4.9451e+00	
 4.9243e+00	 5.0302e+00	 4.9451e+00	
 4.9243e+00	 5.0302e+00	 4.9451e+00	
 4.9244e+00	 5.0302e+00	 4.9451e+00	
 4.9237e+00	 5.0302e+00	 4.9451e+00	
 4.9235e+00	 5.0302e+00	 4.9451e+00	
 4.9241e+00	 5.0302e+00	 4.9451e+00	
 4.9238e+00	 5.0302e+00	 4.9451e+00	
 4.9234e+00	 5.0302e+00	 4.9451e+00	
 4.9245e+00	 5.0302e+00	 4.9451e+00	
