Training Loss	Validation Loss	Test Loss	
 5.7774e+00	 5.3363e+00	 5.2722e+00	
 5.2938e+00	 5.1535e+00	 5.0855e+00	
 5.1436e+00	 5.0614e+00	 4.9902e+00	
 5.0577e+00	 5.0155e+00	 4.9398e+00	
 4.9970e+00	 4.9800e+00	 4.9026e+00	
 4.8885e+00	 4.9065e+00	 4.8267e+00	
 4.8118e+00	 4.8731e+00	 4.7946e+00	
 4.7711e+00	 4.8559e+00	 4.7785e+00	
 4.7526e+00	 4.8445e+00	 4.7690e+00	
 4.7444e+00	 4.8385e+00	 4.7638e+00	
 4.7408e+00	 4.8349e+00	 4.7610e+00	
 4.7390e+00	 4.8328e+00	 4.7598e+00	
 4.7372e+00	 4.8321e+00	 4.7593e+00	
 4.7361e+00	 4.8319e+00	 4.7591e+00	
 4.7368e+00	 4.8317e+00	 4.7590e+00	
 4.7369e+00	 4.8316e+00	 4.7589e+00	
 4.7375e+00	 4.8316e+00	 4.7589e+00	
 4.7373e+00	 4.8315e+00	 4.7589e+00	
 4.7363e+00	 4.8315e+00	 4.7589e+00	
 4.7349e+00	 4.8315e+00	 4.7589e+00	
 4.7368e+00	 4.8315e+00	 4.7589e+00	
 4.7363e+00	 4.8315e+00	 4.7589e+00	
 4.7362e+00	 4.8315e+00	 4.7589e+00	
 4.7375e+00	 4.8315e+00	 4.7589e+00	
 4.7359e+00	 4.8315e+00	 4.7589e+00	
 4.7358e+00	 4.8315e+00	 4.7589e+00	
 4.7361e+00	 4.8315e+00	 4.7589e+00	
 4.7364e+00	 4.8315e+00	 4.7589e+00	
 4.7357e+00	 4.8315e+00	 4.7589e+00	
 4.7371e+00	 4.8315e+00	 4.7589e+00	
