Training Loss	Validation Loss	Test Loss	
 5.7346e+00	 5.3198e+00	 5.2527e+00	
 5.2227e+00	 5.1103e+00	 5.0463e+00	
 5.0477e+00	 5.0153e+00	 4.9496e+00	
 4.9455e+00	 4.9644e+00	 4.8897e+00	
 4.8722e+00	 4.9319e+00	 4.8617e+00	
 4.7557e+00	 4.8760e+00	 4.7993e+00	
 4.6766e+00	 4.8437e+00	 4.7674e+00	
 4.6373e+00	 4.8295e+00	 4.7536e+00	
 4.6178e+00	 4.8203e+00	 4.7446e+00	
 4.6113e+00	 4.8150e+00	 4.7407e+00	
 4.6091e+00	 4.8132e+00	 4.7386e+00	
 4.6061e+00	 4.8117e+00	 4.7374e+00	
 4.6066e+00	 4.8107e+00	 4.7367e+00	
 4.6063e+00	 4.8104e+00	 4.7365e+00	
 4.6053e+00	 4.8101e+00	 4.7363e+00	
 4.6058e+00	 4.8100e+00	 4.7362e+00	
 4.6046e+00	 4.8099e+00	 4.7362e+00	
 4.6067e+00	 4.8098e+00	 4.7361e+00	
 4.6051e+00	 4.8098e+00	 4.7361e+00	
 4.6056e+00	 4.8098e+00	 4.7361e+00	
 4.6058e+00	 4.8098e+00	 4.7361e+00	
 4.6058e+00	 4.8098e+00	 4.7361e+00	
 4.6050e+00	 4.8098e+00	 4.7361e+00	
 4.6060e+00	 4.8098e+00	 4.7361e+00	
 4.6055e+00	 4.8098e+00	 4.7361e+00	
 4.6058e+00	 4.8098e+00	 4.7361e+00	
 4.6049e+00	 4.8098e+00	 4.7361e+00	
 4.6062e+00	 4.8098e+00	 4.7361e+00	
 4.6056e+00	 4.8098e+00	 4.7361e+00	
 4.6049e+00	 4.8098e+00	 4.7361e+00	
