Training Loss	Validation Loss	Test Loss	
 5.6441e+00	 5.2771e+00	 5.2121e+00	
 5.0841e+00	 5.0767e+00	 5.0104e+00	
 4.8765e+00	 4.9881e+00	 4.9172e+00	
 4.7478e+00	 4.9450e+00	 4.8676e+00	
 4.6599e+00	 4.9267e+00	 4.8526e+00	
 4.5136e+00	 4.8744e+00	 4.7976e+00	
 4.4188e+00	 4.8547e+00	 4.7751e+00	
 4.3716e+00	 4.8431e+00	 4.7658e+00	
 4.3525e+00	 4.8338e+00	 4.7570e+00	
 4.3466e+00	 4.8256e+00	 4.7509e+00	
 4.3470e+00	 4.8217e+00	 4.7486e+00	
 4.3448e+00	 4.8195e+00	 4.7473e+00	
 4.3434e+00	 4.8181e+00	 4.7463e+00	
 4.3444e+00	 4.8172e+00	 4.7456e+00	
 4.3442e+00	 4.8165e+00	 4.7451e+00	
 4.3436e+00	 4.8163e+00	 4.7449e+00	
 4.3440e+00	 4.8161e+00	 4.7448e+00	
 4.3433e+00	 4.8161e+00	 4.7447e+00	
 4.3441e+00	 4.8160e+00	 4.7447e+00	
 4.3438e+00	 4.8160e+00	 4.7447e+00	
